,id,sepal_len,sepal_wd,petal_len,petal_wd,species
0,0,5.1,3.5,1.4,0.2,0
1,1,4.9,3.0,1.4,0.2,0
2,2,4.7,3.2,1.3,0.2,0
3,3,4.6,3.1,1.5,0.2,0
4,4,5.0,3.6,1.4,0.2,0
5,5,5.4,3.9,1.7,0.4,0
6,6,4.6,3.4,1.4,0.3,0
7,7,5.0,3.4,1.5,0.2,0
8,8,4.4,2.9,1.4,0.2,0
9,9,4.9,3.1,1.5,0.1,0
10,10,5.4,3.7,1.5,0.2,0
11,11,4.8,3.4,1.6,0.2,0
12,12,4.8,3.0,1.4,0.1,0
13,13,4.3,3.0,1.1,0.1,0
14,14,5.8,4.0,1.2,0.2,0
15,15,5.7,4.4,1.5,0.4,0
16,16,5.4,3.9,1.3,0.4,0
17,17,5.1,3.5,1.4,0.3,0
18,18,5.7,3.8,1.7,0.3,0
19,19,5.1,3.8,1.5,0.3,0
20,20,5.4,3.4,1.7,0.2,0
21,21,5.1,3.7,1.5,0.4,0
22,22,4.6,3.6,1.0,0.2,0
23,23,5.1,3.3,1.7,0.5,0
24,24,4.8,3.4,1.9,0.2,0
25,25,5.0,3.0,1.6,0.2,0
26,26,5.0,3.4,1.6,0.4,0
27,27,5.2,3.5,1.5,0.2,0
28,28,5.2,3.4,1.4,0.2,0
29,29,4.7,3.2,1.6,0.2,0
30,30,4.8,3.1,1.6,0.2,0
31,31,5.4,3.4,1.5,0.4,0
32,32,5.2,4.1,1.5,0.1,0
33,33,5.5,4.2,1.4,0.2,0
34,34,4.9,3.1,1.5,0.2,0
35,35,5.0,3.2,1.2,0.2,0
36,36,5.5,3.5,1.3,0.2,0
37,37,4.9,3.6,1.4,0.1,0
38,38,4.4,3.0,1.3,0.2,0
39,39,5.1,3.4,1.5,0.2,0
40,40,5.0,3.5,1.3,0.3,0
41,41,4.5,2.3,1.3,0.3,0
42,42,4.4,3.2,1.3,0.2,0
43,43,5.0,3.5,1.6,0.6,0
44,44,5.1,3.8,1.9,0.4,0
45,45,4.8,3.0,1.4,0.3,0
46,46,5.1,3.8,1.6,0.2,0
47,47,4.6,3.2,1.4,0.2,0
48,48,5.3,3.7,1.5,0.2,0
49,49,5.0,3.3,1.4,0.2,0
